rpt_rec_num,avg_days_open_per_week,avg_session_time,avg_weekly_sessions,dialyser_reuse_times,dialyzer_type,epo_cost,epo_net_cost,epo_rebates,epo_total,lab_services,non_medicare_sessions,non_medicare_sessions_indirect,num_machines_regular,num_machines_standby,supplies,total_costs_hd_benefits,total_costs_hd_drugs,total_costs_hd_housekeeping,total_costs_hd_labs,total_costs_hd_machines,total_costs_hd_other,total_costs_hd_salaries,total_costs_hd_supplies,total_treatments_hd,total_treatments_pd,certification_date,chain_identity,chain_indicator,ever_hospital_based,facility_name,prvdr_num,report_end_date,report_start_date,state,zip_code,fy_bgn_dt,fy_end_dt,year
121210,,,,1,1,2099,-2099,,375,,,,,,,,,,,,,,,,,05/21/2009,DAVITA  INC,Y,N,PEORIA HOME DIALYSIS PD 4303-5992,142704,04/13/2010,01/01/2010,IL,61602,1/1/2010,4/13/2010,2010
121262,6,5,3,,1,487781,-487781,,60041,2566,3227,3458,20,4,1571,178192,42954,271172,2314,88289,293004,902008,221633,10470,,04/02/1990,AMERI-TECH KIDNEY CENTER PA,Y,N,AMERI-TECH KIDNEY CTR-ARLINGTON,452618,01/31/2010,02/01/2009,TX,76013,2/1/2009,1/31/2010,2010
121263,6,5,3,,1,140754,-140754,,17030,6257,4241,,20,4,1877,197323,47953,315012,3267,47357,467321,988473,227386,12514,,04/29/1993,AMERI-TECH KIDNEY CENTER PA,Y,N,AMERI-TECH KIDNEY CTR-BEDFORD,452655,01/31/2010,02/01/2009,TX,76022,2/1/2009,1/31/2010,2010
121615,6,4.5,3,7,1,144655,-144655,,19622,,1176,,8,2,8576,63278,1493,70064,,39774,264033,214112,66465,3571,,08/01/2005,DAVITA  INC,Y,N,NELSONVILLE DIALYSIS #1738,362548,01/31/2010,01/01/2009,OH,45764,1/1/2009,1/31/2010,2010
122045,6,5.23999999999978,3,,1,156449,-103629,-52820,16087,4020,858,,21,2,547,36903,3014,59832,177,18153,113467,97590,31058,2097,,08/27/1979,FRESENIUS MEDICAL CARE  N.A.,Y,N,NW BROWARD ARTIFICIAL KIDNEY CENTER,102544,03/31/2010,01/01/2010,FL,33063,1/1/2010,3/31/2010,2010
122077,6,4.5,3,,1,2192173,-1491041,-701132,206896,27997,6072,,35,4,6009,395260,55224,279872,3698,214166,1083042,1512648,408270,,,03/06/1996,FRESENIUS MEDICAL CARE  N.A.,Y,N,PERMIAN BASIN DIALYSIS CENTER,452729,01/05/2010,01/01/2009,TX,79761,1/1/2009,1/5/2010,2010
122248,6,4.5,3,,1,333161,-219876,-113285,30460,3947,783,,37,4,640,68095,8095,77400,522,5486,162409,172706,65202,3872,,12/01/1974,FRESENIUS MEDICAL CARE  N.A.,Y,N,FMCNA  DBA NORTH TEXAS DIALYSIS CENT,452510,02/28/2010,01/01/2010,TX,76301,1/1/2010,2/28/2010,2010
122392,3,14,3,,1,156467,-156467,,18042,,263,,12,,,70464,,84344,2153,85132,138514,243258,77864,3984,,05/01/2007,,N,Y,SOUTHEASTERN RENAL DIALYSIS  L.C.,162537,06/30/2010,07/01/2009,IA,52627,7/1/2009,6/30/2010,2010
122393,3,12,3,,1,102547,-102547,,12023,,219,1,10,,,34745,,74464,483,63347,80682,90519,44709,2070,,05/01/2007,,N,Y,SOUTHEASTERN RENAL DIALYSIS  L.C.,162540,06/30/2010,07/01/2009,IA,52556,7/1/2009,6/30/2010,2010
122422,3,4,3,,1,101427,-101427,,121244,,,,8,1,,55226,223252,41681,7790,53987,200825,231247,103577,3176,,11/21/2006,SANFORD HEALTH NETWORK,Y,N,NORTHWEST IOWA DIALYSIS CENTER,162536,06/30/2010,05/01/2009,IA,51238,5/1/2009,6/30/2010,2010
122484,6,4,3,1,1,69970,-69970,,8187,,233,,27,3,1596,16820,196,38589,211,10491,57768,68197,30296,1300,,12/15/1989,DAVITA  INC,Y,N,WILMINGTON DIALYSIS CENTER #807-6191,082505,01/31/2010,01/01/2010,DE,19802-2541,1/1/2010,1/31/2010,2010
122485,6,4.5,3,7,1,49781,-49781,,6556,,172,,16,2,1684,17238,517,27507,,6541,45937,57743,14032,766,,04/07/2004,DAVITA  INC,Y,N,NEWPORT DIALYSIS #2020,082513,01/31/2010,01/01/2010,DE,19804,1/1/2010,1/31/2010,2010
122513,3,14,3,,1,249523,-249523,,26433,,403,135,12,,,55341,,30717,1103,50766,104469,176890,211129,3923,,04/01/1997,,N,Y,SOUTHEASTERN RENAL DIALYSIS  L.C.,162509,06/30/2010,07/01/2009,IA,52641,7/1/2009,6/30/2010,2010
122655,3,13,3,,1,145275,-145275,,16369,,1092,11,10,,,39168,,45728,745,64546,112724,171440,36966,2872,,01/06/1999,,N,N,SOUTHEASTERN RENAL DIALYSIS  L.C.,162517,06/30/2010,07/01/2009,IA,52632,7/1/2009,6/30/2010,2010
122733,6,4.5,3,,1,672893,-620376,-52517,73164,,2938,,22,4,,345926,75093,286896,10889,160122,494357,1075685,402184,13001,,09/14/1987,DIALYSIS CENTER OF LINCOLN  INC,Y,N,DIALYSIS CENTER OF LINCOLN  INC,282500,08/31/2010,09/01/2009,NE,68510,9/1/2009,8/31/2010,2010
122944,6,4.5,3,,1,245763,-225125,-20638,26733,,780,,12,3,,158279,13286,177005,4579,109201,212128,425755,164783,6062,,08/14/1997,DIALYSIS CENTER OF LINCOLN  INC,Y,N,DIALYSIS CENTER OF COLUMBUS,282509,08/31/2010,09/01/2009,NE,68601,9/1/2009,8/31/2010,2010
122948,6,5,3,1,1,609350,-609350,,74203,10312,1668,,12,3,,163363,49135,82423,2591,184702,318080,740654,192171,10263,,10/02/2002,,N,N,MCALESTER REGIONAL DIALYSIS CENTER,372564,06/30/2010,07/01/2009,OK,75401,7/1/2009,6/30/2010,2010
122949,3,3.5,3,,1,460737,-460737,,115184,,5302,,33,3,,100323,8050,182479,4546,67872,302917,644449,213805,11675,,06/29/1989,,N,N,KIDNEY TREATMENT CENTER  INC.,452615,06/30/2010,07/01/2009,TX,78229,7/1/2009,6/30/2010,2010
123131,6,4.5,3,,1,1005766,-655574,-350192,35491,,1224,,12,2,,96930,27930,167531,2937,34112,140784,346559,127749,3932,,06/16/2008,DIALYSIS CENTER OF LINCOLN  INC,Y,N,DIALYSIS CENTER OF LINCOLN SOUTHWEST,282527,08/31/2010,09/01/2009,NE,68512,9/1/2009,8/31/2010,2010
123464,6,4,3,,1,66712,-66712,,7650,,353,,6,2,,7742,20241,8567,6087,20749,58421,98146,45104,1152,,06/06/2002,,N,N,RENAL NURSE ASSOCIATES  LLC,062539,06/01/2010,01/01/2010,CO,80005,1/1/2010,6/1/2010,2010
123881,6,4,3,,1,351127,-372745,21618,42466,,1436,,19,3,,76150,16212,192797,2317,137397,765147,420993,163325,7731,,06/01/2008,RELIANT RENAL CARE,N,N,RRC EAST FORT WORTH,452563,09/30/2010,10/01/2009,TX,76120,10/1/2009,9/30/2010,2010
124008,4.89999999999986,5.5,3,,1,,,,,,,123,5,1,,,,,,,,,,,,11/16/2000,,N,N,HUTCHINSON CLINIC RENAL DIALYSIS CTR,172539,03/23/2010,01/01/2010,KS,67502,1/1/2010,3/23/2010,2010
124009,3,5,3,,1,149391,-149391,,11197,,346,,12,1,2178,20741,,18488,7700,60057,93900,218090,73683,2631,,08/27/2004,,N,N,CARL T CURTIS / DIALYSIS,282525,09/30/2010,10/01/2009,NE,68039,10/1/2009,9/30/2010,2010
124016,3,4,3,,1,170818,-181182,10364,22465,,842,,16,2,,30585,4065,175831,1646,84377,354359,204557,66814,2760,,07/01/2008,RELIANT RENAL CARE,Y,N,RRC COLORADO SPRINGS,062532,09/30/2010,10/01/2009,CO,80909-2811,10/1/2009,9/30/2010,2010
124051,3,5,3,1,1,352853,-333950,-18903,35859,,741,,9,3,,39351,,54469,10703,117439,217873,225375,31165,4148,,07/25/2007,,N,N,PREMIER DIALYSIS OF WEST COUNTY,262620,12/31/2010,01/01/2010,MO,63017,1/1/2010,12/31/2010,2010
124182,6,4.75,3,,1,192641,-192641,,,,,,6,1,,81663,135021,60462,107396,,53063,468429,155660,4781,,03/25/1998,,N,N,BOZEMAN DIALYSIS CENTER,272503,06/30/2010,07/01/2009,MT,59715,7/1/2009,6/30/2010,2010
124979,6,5,3,1,1,851590,-798575,-53015,86544,,1697,,12,3,,61294,,145744,8876,134038,345914,340696,116056,5522,,12/05/2007,,N,N,PREMIER DIALYSIS OF FERGUSON INC,262624,12/31/2010,01/01/2010,MO,63135-2133,1/1/2010,12/31/2010,2010
125325,6,4,3,,1,,,,,,424,,3,1,,,67578,,,,295037,,57504,1632,,07/26/2002,,N,N,MOSES DIALYSIS UNIT,232597,03/31/2010,04/01/2009,MI,49781-1792,4/1/2009,3/31/2010,2010
125584,3,4,3,,1,283581,-181733,-101848,13123,5321,1462,,16,2,1014,73636,9098,166458,621,59836,360176,175877,91700,4782,,10/01/1998,FRESENIUS MEDICAL CARE  N.A.,Y,N,NORCROSS,112653,12/31/2010,01/01/2010,GA,30093,1/1/2010,12/31/2010,2010
126093,6,4.5,3,,1,293206,-193756,-99450,27376,5149,1305,,23,3,1010,74341,5013,114001,548,39405,354332,187681,64478,3588,,03/13/1997,FRESENIUS MEDICAL CARE  N.A.,Y,N,D.S. OF CENTERAL CINCINNATI,362574,04/30/2010,01/01/2010,OH,45212,1/1/2010,4/30/2010,2010
126206,6,4.5,3,1,1,1199239,-1199239,,152356,,2087,,43,6,42123,225953,10380,625469,8203,224552,1034368,1021058,443604,20982,,03/15/1989,DAVITA  INC,Y,N,VANCE COUNTY DIALYSIS #3906,342543,12/31/2010,01/01/2010,NC,27536-3487,1/1/2010,12/31/2010,2010
126211,3,3.5,3,,1,166509,-166509,,22829,,456,,8,2,,21360,9999,69253,2850,16739,113366,213650,51649,2585,,10/23/2003,,N,N,MESCALERO DIALYSIS CENTER,322525,09/30/2010,10/01/2009,NM,88340,10/1/2009,9/30/2010,2010
126212,6,4.5,3,,1,445717,-412248,-33469,48346,,4693,,24,3,,159604,13600,144348,32918,121068,402413,742181,218064,12262,,10/03/2007,DIALYSIS CLINIC  INC.,Y,N,DIALYSIS CLINIC  INC.,322530,09/30/2010,10/01/2009,NM,87110,10/1/2009,9/30/2010,2010
126536,6,4.5,3,,1,316354,-208731,-107623,28388,7951,1561,,12,2,2703,68837,8930,391843,451,83627,396558,224591,85709,5159,,05/22/2008,FRESENIUS MEDICAL CARE  N.A.,Y,N,FMC INDEPENDENCE CENTERPOINT,262630,12/31/2010,01/01/2010,MO,64057,1/1/2010,12/31/2010,2010
126648,3,5,3,,1,1043286,-688326,-354960,97193,17968,2222,,37,3,2644,272765,38005,809152,1178,164873,625713,740917,265145,11880,,04/29/1998,FRESENIUS MEDICAL CARE  N.A.,Y,N,COLUMBIA,442613,12/31/2010,01/01/2010,TN,38401,1/1/2010,12/31/2010,2010
127195,3,3.45999999999992,3,,1,135220,-89213,-46007,174396,1118,217,,12,2,514,28906,7076,90239,311,16023,153457,80476,34374,2146,,09/30/1998,FRESENIUS MEDICAL CARE  N.A.,Y,N,MOUNTAIN CITY,442621,12/31/2010,01/01/2010,TN,37683,1/1/2010,12/31/2010,2010
