"rpt_rec_num","prvdr_ctrl_type_cd","prvdr_num","rpt_stus_cd","initl_rpt_sw","last_rpt_sw","trnsmtl_num","fi_num","adr_vndr_cd","util_cd","spec_ind","npi","fy_bgn_dt","fy_end_dt","proc_dt","fi_creat_dt","npr_dt","fi_rcpt_dt"
7,"C","012500",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/30/1999,7/28/1999,6/3/1999
23,"C","012509",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/30/1999,7/28/1999,6/3/1999
32,"C","012510",2,"N","N",,"00010",,,,,5/1/1997,4/30/1998,11/25/1998,11/19/1998,11/17/1998,10/2/1998
44,"C","012512",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/13/1999,7/9/1999,6/3/1999
53,"C","012513",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,2/15/2000,1/19/2000,1/13/2000,6/3/1999
62,"C","012515",2,"N","N",,"00010",,"F",,,1/1/1998,12/31/1998,1/10/2001,12/14/2000,1/13/2000,6/3/1999
70,"B","012516",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,12/1/1998
80,"C","012518",2,"N","N",,"00010",,,,,1/1/1998,4/5/1998,11/25/1998,11/19/1998,11/17/1998,10/7/1998
89,"C","012519",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/30/1999,7/28/1999,6/3/1999
98,"C","012520",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/30/1999,7/28/1999,6/3/1999
108,"C","012522",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/30/1999,7/28/1999,6/3/1999
128,"B","012526",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,11/30/1998
141,"B","012528",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,11/30/1998
156,"C","012530",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,12/1/1999,10/21/1999,10/12/1999,7/1/1999
166,"C","012531",2,"N","N",,"00010",,,,,5/1/1997,4/30/1998,11/25/1998,11/19/1998,11/17/1998,10/2/1998
180,"B","012533",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/13/1999,7/9/1999,6/1/1999
189,"B","012534",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,11/30/1998
201,"B","012536",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,11/30/1998
219,"C","012539",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,12/1/1999,10/21/1999,10/12/1999,7/1/1999
229,"C","012540",2,"N","N",,"00010",,,,,5/1/1997,4/30/1998,11/25/1998,11/19/1998,11/17/1998,10/2/1998
242,"C","012541",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,11/22/2000,10/12/2000,1/13/2000,6/3/1999
250,"C","012546",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,11/22/2000,10/12/2000,1/13/2000,6/3/1999
266,"C","012549",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,9/25/2000,9/8/2000,7/1/1999,5/20/1999
283,"C","012555",2,"N","N",,"00010",,,,,1/1/1998,10/31/1998,9/25/2000,9/13/2000,8/30/2000,6/30/1999
284,"C","012555",2,"N","N",,"00010",,,,,11/1/1998,12/31/1998,7/10/2000,6/15/2000,5/30/2000,4/3/2000
293,"B","012556",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,11/30/1998
306,"B","012560",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,11/30/1998
315,"A","012561",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,2/15/2000,1/19/2000,1/13/2000,6/30/1999
323,"C","012564",2,"N","N",,"00010",,,,,1/1/1998,4/19/1998,6/8/1999,4/16/1999,4/9/1999,2/15/1999
329,"C","012565",2,"N","N",,"00010",,,,,1/1/1998,12/31/1998,8/25/1999,7/30/1999,7/28/1999,6/1/1999
334,"B","012566",2,"N","N",,"00010",,,,,7/1/1997,6/30/1998,2/12/1999,1/15/1999,1/7/1999,11/30/1998
340,"C","012567",2,"N","N",,"00010",,,,,6/1/1998,12/31/1998,12/1/1999,9/28/1999,9/21/1999,7/1/1999
